Key ,Code
BACKSPACE ,"{BACKSPACE}, {BS}, or {BKSP}"
BREAK ,{BREAK}
CAPS LOCK ,{CAPSLOCK} or {CAP}
DEL or DELETE ,{DELETE} or {DEL}
DOWN ARROW ,{DOWN}
END ,{END}
ENTER ,{ENTER} or ~
ESC ,{ESC}
HELP ,{HELP}
HOME ,{HOME}
INS or INSERT ,{INSERT} or {INS}
LEFT ARROW ,{LEFT}
NUM LOCK ,{NUMLOCK}
PAGE DOWN ,{PGDN}
PAGE UP ,{PGUP}
PRINT SCREEN ,{PRTSC}
RIGHT ARROW ,{RIGHT}
SCROLL LOCK ,{SCROLLLOCK}
SPACE BAR ,{PACE}
TAB ,{TAB}
UP ARROW ,{UP}
F1 ,{F1}
F2 ,{F2}
F3 ,{F3}
F4 ,{F4}
F5 ,{F5}
F6 ,{F6}
F7 ,{F7}
F8 ,{F8}
F9 ,{F9}
F10 ,{F10}
F11 ,{F11}
F12 ,{F12}
F13 ,{F13}
F14 ,{F14}
F15 ,{F15}
F16 ,{F16}
F17 ,{F17}
F18 ,{F18}
F19 ,{F19}
F20 ,{F20}
F21 ,{F21}
F22 ,{F22}
F23 ,{F23}
F24 ,{F24}
Keypad add ,{ADD}
Keypad subtract ,{SUBTRACT}
Keypad multiply ,{MULTIPLY}
Keypad divide ,{DIVIDE}
Left Windows(R) ,{LWIN}
Right Windows(R) ,{RWIN}
